id,identifier,name,type_id,damage_class_id,damage,energy,accuracy,summary,description,target,category
1,pound,Pound,1,1,4,2,100,Deals damage.  No other effect.,"The user slams the opponent with a solid blow from one of its hands, its tail, or some other appendage.",Single,Contact
2,karate-chop,Karate Chop,7,1,5,3,100,Has a critical hit rate one stage higher than normal.,"The user focuses for a moment to stiffen the muscles in its hands, hardening them until they can smash through rock, before lashing out with a quick chop. This attack, as with most of the fighting-type, causes major damage on harder materials. Its shattering nature also has a chance of totally bypassing the foe's defenses for a critical hit.",Single,Contact/Critical
3,double-slap,Double Slap,1,1,-1,-1,85,Hits 2-5 times in one action.  Base damage is 1.5 times the number of hits.,"The user lets loose a barrage of rapid-fire slaps, pummelling them about the head and face.",Single,Contact/Random damage
4,comet-punch,Comet Punch,1,1,-1,-1,85,Hits 2-5 times in one action.  Base damage is 1.8 times the number of hits.,"The user fires a barrage of straight-out knuckle punches at the opponent. Although individually each punch is quite weak, the damage can end up quickly if a large number of them connect.",Single,Contact/Random damage
5,mega-punch,Mega Punch,1,1,8,4,85,Deals damage.  No other effect.,"The user fires an extremely powerful punch straight at the enemy, causing considerable damage if it manages to connect.",Single,Contact
6,pay-day,Pay Day,1,1,4,2,100,"Raises prize money by $1, up to $5 per battle.","The user pelts the opponent with handfuls of shiny coins that fountain from thin air. For each time this attack is used in battle, the user's trainer gains $1 in additional prizes at the battle's end; however, the amount earned this way may not exceed $5.",Single,Projectile
7,fire-punch,Fire Punch,2,1,7,4,100,Has a 10% chance to burn the target.,The user's fist is engulfed in a ball of flame as it punches the opponent. This attack may leave behind a nasty burn where it strikes.,Single,Contact/Status (burn)
8,ice-punch,Ice Punch,6,1,7,4,100,Has a 10% chance to freeze the target.,"The user pulls back its fist as frost begins to form on its knuckles, then lets loose with a solid punch that may leave a slick of ice where it strikes.",Single,Contact/Status (freeze)
9,thunder-punch,Thunder Punch,5,1,7,4,100,Has a 10% chance to paralyze the target.,"The user's fist crackles with electrical energy as it punches the opponent. The majority of the damage is caused by the physical strike, but its electrical properties cause some elemental damage and may induce paralysis.",Single,Contact/Status (paralysis)
10,scratch,Scratch,1,1,4,2,100,Deals damage.  No other effect.,The user scratches the opponent with sharp claws or an analogous structure.,Single,Contact
11,vice-grip,Vice Grip,1,1,5,3,100,Deals damage.  No other effect.,The user grabs the opponent tightly in its claws and squeezes it hard.,Single,Contact
12,guillotine,Guillotine,1,1,-1,-1,30,"Deals damage equal to the damage cap, or 100% of there is none.","The user clamps down onto the opponent with the deepest part of of its pincers (where there is the most strength) for incredible damage. It is easy for the opponent, however, to escape, due to the fact that it is difficult for the attacker to get its opponent into the correct position for the best effect.",Single,Contact/OHKO
13,razor-wind,Razor Wind,1,2,8,4,100,Requires an action to charge.  Can be used in one action for 3% etra energy.,"The user whips up a twister imbued with normal-type energy that forms numerous small, thin blades that swirl through the core of the attack. Most of the attack's damage is caused by these ""razors,"" but it may also pick up and throw around smaller foes.",Multiple,Projectile/Critical
14,swords-dance,Swords Dance,1,3,,2,,Raises the user's Attack by two stages.,"The user twirls around in a warrior's dance, working itself up into a zen-like state and greatly heightening its battle awareness and attack capabilities. During the spin, projectile attacks may be deflected.",Self,Stat modifier (attack)
15,cut,Cut,1,1,5,3,95,Deals damage.  No other effect.,The user slices into the target with something sharp.,Single,Contact
16,gust,Gust,10,2,4,2,100,Can hit high-flying Pokémon.,The user beats up a small twister and launches it at the opponent. This attack may pick up and toss around small or otherwise light opponents and also has the potential to blow away spikes or gas lingering in its path.,Single,Projectile
17,wing-attack,Wing Attack,10,1,6,3,100,Deals damage.  No other effect.,The user deals the opponent a heavy blow with an outstretched wing.,Single,Contact
18,whirlwind,Whirlwind,1,3,,3,,"Blows a strong gust of wind, which can be used, for example, to knock the opponent back or clear the air.","The user blows a vicious gust of wind at the opponent, possibly knocking it back or picking it up and spinning it around. The wind also serves to pick up any small objects it moves over and scatter them. It will also clear away whatever might be lingering in the air, such as smog, mist, or similar. This attack can strike even high-flying foes, and very light or flying-type pokémon are most susceptible to its effects.",Single,Projectile/Priority (-6)
19,fly,Fly,10,1,9,5,95,"Flies up high, dodging most moves, then hits.  Costs 3% extra energy to do both in one action.","Not necessarily used as a straight-out attack. The user may fly into the air as a defense to lower the accuracy of attacks coming from the ground and remain there, making aerial strikes against the opponent. This increases the energy cost of all attacks, as it is taxing to remain aloft, but may deal increased damage as a result of the extra momentum caused by working with gravity to drop down on the opponent. When used as a straight-up attack, the user leaps into the air and then dives, striking the foe from above with the force of a missile.",Single,Contact
20,bind,Bind,1,1,1,1,85,Traps the target and deals 1% damage after each action for 2-5 actions.,"The user grabs the opponent with their claws or wraps them in some long appendage, squeezing tightly. When they first grab the foe, the opponent has little chance to break free, but as time goes by the chance gets greater, as the victim has had more time to struggle. Smaller foes are liable to slip out of a bind more easily, but at the same time they take more damage from the crushing power of the attack.",Single,Contact
21,slam,Slam,1,1,8,4,75,Deals damage.  No other effect.,"The user throws all its weight into the opponent, slamming them to the ground. Heavy pokémon eke the most damage out of this attack.",Single,Contact
22,vine-whip,Vine Whip,4,1,4,2,100,Deals damage.  No other effect.,The user strikes the opponent with long vines or uses them to grab the target and fling it around. This attack may also be used to grab things from a distance or wrap an opponent up to immobilize them.,Single,Contact
