pokemon_form_id,slot,ability_id,is_hidden
1,1,65,f
1,3,34,t
2,1,65,f
2,3,34,t
3,1,65,f
3,3,34,t
4,1,66,f
4,3,94,t
5,1,66,f
5,3,94,t
6,1,66,f
6,3,94,t
7,1,67,f
7,3,44,t
8,1,67,f
8,3,44,t
9,1,67,f
9,3,44,t
10,1,19,f
10,3,50,t
11,1,61,f
11,3,61,t
12,1,14,f
12,3,110,t
13,1,19,f
13,3,50,t
14,1,61,f
14,3,61,t
15,1,68,f
15,3,97,t
16,1,51,f
16,2,77,f
16,3,145,t
17,1,51,f
17,2,77,f
17,3,145,t
18,1,51,f
18,2,77,f
18,3,145,t
19,1,50,f
19,2,62,f
19,3,55,t
20,1,50,f
20,2,62,f
20,3,55,t
21,1,51,f
21,3,97,t
22,1,51,f
22,3,97,t
23,1,22,f
23,2,61,f
23,3,127,t
24,1,22,f
24,2,61,f
24,3,127,t
25,1,9,f
25,3,31,t
26,1,9,f
26,3,31,t
27,1,8,f
27,3,146,t
28,1,8,f
28,3,146,t
29,1,38,f
29,2,79,f
29,3,55,t
30,1,38,f
30,2,79,f
30,3,55,t
31,1,38,f
31,2,79,f
31,3,125,t
32,1,38,f
32,2,79,f
32,3,55,t
33,1,38,f
33,2,79,f
33,3,55,t
34,1,38,f
34,2,79,f
34,3,125,t
35,1,56,f
35,2,98,f
35,3,132,t
36,1,56,f
36,2,98,f
36,3,109,t
37,1,18,f
37,3,70,t
38,1,18,f
38,3,70,t
39,1,56,f
39,2,172,f
39,3,132,t
40,1,56,f
40,2,172,f
40,3,119,t
41,1,39,f
41,3,151,t
42,1,39,f
42,3,151,t
43,1,34,f
43,3,50,t
44,1,34,f
44,3,1,t
45,1,34,f
45,3,27,t
46,1,27,f
46,2,87,f
46,3,6,t
47,1,27,f
47,2,87,f
47,3,6,t
48,1,14,f
48,2,110,f
48,3,50,t
49,1,19,f
49,2,110,f
49,3,147,t
50,1,8,f
50,2,71,f
50,3,159,t
51,1,8,f
51,2,71,f
51,3,159,t
52,1,53,f
52,2,101,f
52,3,127,t
53,1,7,f
53,2,101,f
53,3,127,t
54,1,6,f
54,2,13,f
54,3,33,t
55,1,6,f
55,2,13,f
55,3,33,t
56,1,72,f
56,2,83,f
56,3,128,t
57,1,72,f
57,2,83,f
57,3,128,t
58,1,22,f
58,2,18,f
58,3,154,t
59,1,22,f
59,2,18,f
59,3,154,t
60,1,11,f
60,2,6,f
60,3,33,t
61,1,11,f
61,2,6,f
61,3,33,t
62,1,11,f
62,2,6,f
62,3,33,t
63,1,28,f
63,2,39,f
63,3,98,t
64,1,28,f
64,2,39,f
64,3,98,t
65,1,28,f
65,2,39,f
65,3,98,t
66,1,62,f
66,2,99,f
66,3,80,t
67,1,62,f
67,2,99,f
67,3,80,t
68,1,62,f
68,2,99,f
68,3,80,t
69,1,34,f
69,3,82,t
70,1,34,f
70,3,82,t
71,1,34,f
71,3,82,t
72,1,29,f
72,2,64,f
72,3,44,t
73,1,29,f
73,2,64,f
73,3,44,t
74,1,69,f
74,2,5,f
74,3,8,t
75,1,69,f
75,2,5,f
75,3,8,t
76,1,69,f
76,2,5,f
76,3,8,t
77,1,50,f
77,2,18,f
77,3,49,t
78,1,50,f
78,2,18,f
78,3,49,t
79,1,12,f
79,2,20,f
79,3,144,t
80,1,12,f
80,2,20,f
80,3,144,t
81,1,42,f
81,2,5,f
81,3,148,t
82,1,42,f
82,2,5,f
82,3,148,t
83,1,51,f
83,2,39,f
83,3,128,t
84,1,50,f
84,2,48,f
84,3,77,t
85,1,50,f
85,2,48,f
85,3,77,t
86,1,47,f
86,2,93,f
86,3,115,t
87,1,47,f
87,2,93,f
87,3,115,t
88,1,1,f
88,2,60,f
88,3,143,t
89,1,1,f
89,2,60,f
89,3,143,t
90,1,75,f
90,2,92,f
90,3,142,t
91,1,75,f
91,2,92,f
91,3,142,t
92,1,26,f
93,1,26,f
94,1,26,f
95,1,69,f
95,2,5,f
95,3,133,t
96,1,15,f
96,2,108,f
96,3,39,t
97,1,15,f
97,2,108,f
97,3,39,t
98,1,52,f
98,2,75,f
98,3,125,t
99,1,52,f
99,2,75,f
99,3,125,t
100,1,43,f
100,2,9,f
100,3,106,t
101,1,43,f
101,2,9,f
101,3,106,t
102,1,34,f
102,3,139,t
103,1,34,f
103,3,139,t
104,1,69,f
104,2,31,f
104,3,4,t
105,1,69,f
105,2,31,f
105,3,4,t
106,1,7,f
106,2,120,f
106,3,84,t
107,1,51,f
107,2,89,f
107,3,39,t
108,1,20,f
108,2,12,f
108,3,13,t
109,1,26,f
110,1,26,f
111,1,31,f
111,2,69,f
111,3,120,t
112,1,31,f
112,2,69,f
112,3,120,t
113,1,30,f
113,2,32,f
113,3,131,t
114,1,34,f
114,2,102,f
114,3,144,t
115,1,48,f
115,2,113,f
115,3,39,t
116,1,33,f
116,2,97,f
116,3,6,t
117,1,38,f
117,2,97,f
117,3,6,t
118,1,33,f
118,2,41,f
118,3,31,t
119,1,33,f
119,2,41,f
119,3,31,t
120,1,35,f
120,2,30,f
120,3,148,t
121,1,35,f
121,2,30,f
121,3,148,t
122,1,43,f
122,2,111,f
122,3,101,t
123,1,68,f
123,2,101,f
123,3,80,t
124,1,12,f
124,2,108,f
124,3,87,t
125,1,9,f
125,3,72,t
126,1,49,f
126,3,72,t
127,1,52,f
127,2,104,f
127,3,153,t
128,1,22,f
128,2,83,f
128,3,125,t
129,1,33,f
129,3,155,t
130,1,22,f
130,3,153,t
131,1,11,f
131,2,75,f
131,3,93,t
132,1,7,f
132,3,150,t
133,1,50,f
133,2,91,f
133,3,107,t
134,1,11,f
134,2,11,f
134,3,93,t
135,1,10,f
135,2,10,f
135,3,95,t
136,1,18,f
136,2,18,f
136,3,62,t
137,1,36,f
137,2,88,f
137,3,148,t
138,1,33,f
138,2,75,f
138,3,133,t
139,1,33,f
139,2,75,f
139,3,133,t
140,1,33,f
140,2,4,f
140,3,133,t
141,1,33,f
141,2,4,f
141,3,133,t
142,1,69,f
142,2,46,f
142,3,127,t
143,1,17,f
143,2,47,f
143,3,82,t
144,1,46,f
144,3,81,t
145,1,46,f
145,3,31,t
146,1,46,f
146,3,49,t
147,1,61,f
147,3,63,t
148,1,61,f
148,3,63,t
149,1,39,f
149,3,136,t
150,1,46,f
150,3,127,t
151,1,28,f
152,1,65,f
152,3,102,t
153,1,65,f
153,3,102,t
154,1,65,f
154,3,102,t
155,1,66,f
155,3,18,t
156,1,66,f
156,3,18,t
157,1,66,f
157,3,18,t
158,1,67,f
158,3,125,t
159,1,67,f
159,3,125,t
160,1,67,f
160,3,125,t
161,1,50,f
161,2,51,f
161,3,119,t
162,1,50,f
162,2,51,f
162,3,119,t
163,1,15,f
163,2,51,f
163,3,110,t
164,1,15,f
164,2,51,f
164,3,110,t
165,1,68,f
165,2,48,f
165,3,155,t
166,1,68,f
166,2,48,f
166,3,89,t
167,1,68,f
167,2,15,f
167,3,97,t
168,1,68,f
168,2,15,f
168,3,97,t
169,1,39,f
169,3,151,t
170,1,10,f
170,2,35,f
170,3,11,t
171,1,10,f
171,2,35,f
171,3,11,t
172,1,9,f
172,3,31,t
173,1,56,f
173,2,98,f
173,3,132,t
174,1,56,f
174,2,172,f
174,3,132,t
175,1,55,f
175,2,32,f
175,3,105,t
176,1,55,f
176,2,32,f
176,3,105,t
177,1,28,f
177,2,48,f
177,3,156,t
178,1,28,f
178,2,48,f
178,3,156,t
179,1,9,f
179,3,57,t
180,1,9,f
180,3,57,t
181,1,9,f
181,3,57,t
182,1,34,f
182,3,131,t
183,1,47,f
183,2,37,f
183,3,157,t
184,1,47,f
184,2,37,f
184,3,157,t
185,1,5,f
185,2,69,f
185,3,155,t
186,1,11,f
186,2,6,f
186,3,2,t
187,1,34,f
187,2,102,f
187,3,151,t
188,1,34,f
188,2,102,f
188,3,151,t
189,1,34,f
189,2,102,f
189,3,151,t
190,1,50,f
190,2,53,f
190,3,92,t
191,1,34,f
191,2,94,f
191,3,48,t
192,1,34,f
192,2,94,f
192,3,48,t
193,1,3,f
193,2,14,f
193,3,119,t
194,1,6,f
194,2,11,f
194,3,109,t
195,1,6,f
195,2,11,f
195,3,109,t
196,1,28,f
196,2,28,f
196,3,156,t
197,1,28,f
197,2,28,f
197,3,39,t
198,1,15,f
198,2,105,f
198,3,158,t
199,1,12,f
199,2,20,f
199,3,144,t
200,1,26,f
201,1,26,f
202,1,23,f
202,3,140,t
203,1,39,f
203,2,48,f
203,3,157,t
204,1,5,f
204,3,142,t
205,1,5,f
205,3,142,t
206,1,32,f
206,2,50,f
206,3,155,t
207,1,52,f
207,2,8,f
207,3,17,t
208,1,69,f
208,2,5,f
208,3,125,t
209,1,22,f
209,2,50,f
209,3,155,t
210,1,22,f
210,2,95,f
210,3,155,t
211,1,38,f
211,2,33,f
211,3,22,t
212,1,68,f
212,2,101,f
212,3,135,t
213,1,5,f
213,2,82,f
213,3,126,t
214,1,68,f
214,2,62,f
214,3,153,t
215,1,39,f
215,2,51,f
215,3,124,t
216,1,53,f
216,2,95,f
216,3,118,t
217,1,62,f
217,2,95,f
217,3,127,t
218,1,40,f
218,2,49,f
218,3,133,t
219,1,40,f
219,2,49,f
219,3,133,t
220,1,12,f
220,2,81,f
220,3,47,t
221,1,12,f
221,2,81,f
221,3,47,t
222,1,55,f
222,2,30,f
222,3,144,t
223,1,55,f
223,2,97,f
223,3,141,t
224,1,21,f
224,2,97,f
224,3,141,t
225,1,72,f
225,2,55,f
225,3,15,t
226,1,33,f
226,2,11,f
226,3,41,t
227,1,51,f
227,2,5,f
227,3,133,t
228,1,48,f
228,2,18,f
228,3,127,t
229,1,48,f
229,2,18,f
229,3,127,t
230,1,33,f
230,2,97,f
230,3,6,t
231,1,53,f
231,3,8,t
232,1,5,f
232,3,8,t
233,1,36,f
233,2,88,f
233,3,148,t
234,1,22,f
234,2,119,f
234,3,157,t
235,1,20,f
235,2,101,f
235,3,141,t
236,1,62,f
236,2,80,f
236,3,72,t
237,1,22,f
237,2,101,f
237,3,80,t
238,1,12,f
238,2,108,f
238,3,93,t
239,1,9,f
239,3,72,t
240,1,49,f
240,3,72,t
241,1,47,f
241,2,113,f
241,3,157,t
242,1,30,f
242,2,32,f
242,3,131,t
243,1,46,f
243,3,10,t
244,1,46,f
244,3,18,t
245,1,46,f
245,3,11,t
246,1,62,f
246,3,8,t
247,1,61,f
247,3,61,t
248,1,45,f
248,3,127,t
249,1,46,f
249,3,136,t
250,1,46,f
250,3,144,t
251,1,30,f
252,1,65,f
252,3,84,t
253,1,65,f
253,3,84,t
254,1,65,f
254,3,84,t
255,1,66,f
255,3,3,t
256,1,66,f
256,3,3,t
257,1,66,f
257,3,3,t
258,1,67,f
258,3,6,t
259,1,67,f
259,3,6,t
260,1,67,f
260,3,6,t
261,1,50,f
261,2,95,f
261,3,155,t
262,1,22,f
262,2,95,f
262,3,153,t
263,1,53,f
263,2,82,f
263,3,95,t
264,1,53,f
264,2,82,f
264,3,95,t
265,1,19,f
265,3,50,t
266,1,61,f
266,3,61,t
267,1,68,f
267,3,79,t
268,1,61,f
268,3,61,t
269,1,19,f
269,3,14,t
270,1,33,f
270,2,44,f
270,3,20,t
271,1,33,f
271,2,44,f
271,3,20,t
272,1,33,f
272,2,44,f
272,3,20,t
273,1,34,f
273,2,48,f
273,3,124,t
274,1,34,f
274,2,48,f
274,3,124,t
275,1,34,f
275,2,48,f
275,3,124,t
276,1,62,f
276,3,113,t
277,1,62,f
277,3,113,t
278,1,51,f
278,3,44,t
279,1,51,f
279,3,44,t
280,1,28,f
280,2,36,f
280,3,140,t
281,1,28,f
281,2,36,f
281,3,140,t
282,1,28,f
282,2,36,f
282,3,140,t
283,1,33,f
283,3,44,t
284,1,22,f
284,3,127,t
285,1,27,f
285,2,90,f
285,3,95,t
286,1,27,f
286,2,90,f
286,3,101,t
287,1,54,f
288,1,72,f
289,1,54,f
290,1,14,f
290,3,50,t
291,1,3,f
291,3,151,t
