id,identifier,name
1,stench,Stench
2,drizzle,Drizzle
3,speed-boost,Speed Boost
4,battle-armor,Battle Armor
5,sturdy,Sturdy
6,damp,Damp
7,limber,Limber
8,sand-veil,Sand Veil
9,static,Static
10,volt-absorb,Volt Absorb
11,water-absorb,Water Absorb
12,oblivious,Oblivious
13,cloud-nine,Cloud Nine
14,compound-eyes,Compound Eyes
15,insomnia,Insomnia
16,color-change,Color Change
17,immunity,Immunity
18,flash-fire,Flash Fire
19,shield-dust,Shield Dust
20,own-tempo,Own Tempo
21,suction-cups,Suction Cups
22,intimidate,Intimidate
23,shadow-tag,Shadow Tag
24,rough-skin,Rough Skin
25,wonder-guard,Wonder Guard
26,levitate,Levitate
27,effect-spore,Effect Spore
28,synchronize,Synchronize
29,clear-body,Clear Body
30,natural-cure,Natural Cure
31,lightning-rod,Lightning Rod
32,serene-grace,Serene Grace
33,swift-swim,Swift Swim
34,chlorophyll,Chlorophyll
35,illuminate,Illuminate
36,trace,Trace
37,huge-power,Huge Power
38,poison-point,Poison Point
39,inner-focus,Inner Focus
40,magma-armor,Magma Armor
41,water-veil,Water Veil
42,magnet-pull,Magnet Pull
43,soundproof,Soundproof
44,rain-dish,Rain Dish
45,sand-stream,Sand Stream
46,pressure,Pressure
47,thick-fat,Thick Fat
48,early-bird,Early Bird
49,flame-body,Flame Body
50,run-away,Run Away
51,keen-eye,Keen Eye
52,hyper-cutter,Hyper Cutter
53,pickup,Pickup
54,truant,Truant
55,hustle,Hustle
56,cute-charm,Cute Charm
57,plus,Plus
58,minus,Minus
59,forecast,Forecast
60,sticky-hold,Sticky Hold
61,shed-skin,Shed Skin
62,guts,Guts
63,marvel-scale,Marvel Scale
64,liquid-ooze,Liquid Ooze
65,overgrow,Overgrow
66,blaze,Blaze
67,torrent,Torrent
68,swarm,Swarm
69,rock-head,Rock Head
70,drought,Drought
71,arena-trap,Arena Trap
72,vital-spirit,Vital Spirit
73,white-smoke,White Smoke
74,pure-power,Pure Power
75,shell-armor,Shell Armor
76,air-lock,Air Lock
77,tangled-feet,Tangled Feet
78,motor-drive,Motor Drive
79,rivalry,Rivalry
80,steadfast,Steadfast
81,snow-cloak,Snow Cloak
82,gluttony,Gluttony
83,anger-point,Anger Point
84,unburden,Unburden
85,heatproof,Heatproof
86,simple,Simple
87,dry-skin,Dry Skin
88,download,Download
89,iron-fist,Iron Fist
90,poison-heal,Poison Heal
91,adaptability,Adaptability
92,skill-link,Skill Link
93,hydration,Hydration
94,solar-power,Solar Power
95,quick-feet,Quick Feet
96,normalize,Normalize
97,sniper,Sniper
98,magic-guard,Magic Guard
99,no-guard,No Guard
100,stall,Stall
101,technician,Technician
102,leaf-guard,Leaf Guard
103,klutz,Klutz
104,mold-breaker,Mold Breaker
105,super-luck,Super Luck
106,aftermath,Aftermath
107,anticipation,Anticipation
108,forewarn,Forewarn
109,unaware,Unaware
110,tinted-lens,Tinted Lens
111,filter,Filter
112,slow-start,Slow Start
113,scrappy,Scrappy
114,storm-drain,Storm Drain
115,ice-body,Ice Body
116,solid-rock,Solid Rock
117,snow-warning,Snow Warning
118,honey-gather,Honey Gather
119,frisk,Frisk
120,reckless,Reckless
121,multitype,Multitype
122,flower-gift,Flower Gift
123,bad-dreams,Bad Dreams
124,pickpocket,Pickpocket
125,sheer-force,Sheer Force
126,contrary,Contrary
127,unnerve,Unnerve
128,defiant,Defiant
129,defeatist,Defeatist
130,cursed-body,Cursed Body
131,healer,Healer
132,friend-guard,Friend Guard
133,weak-armor,Weak Armor
134,heavy-metal,Heavy Metal
135,light-metal,Light Metal
136,multiscale,Multiscale
137,toxic-boost,Toxic Boost
138,flare-boost,Flare Boost
139,harvest,Harvest
140,telepathy,Telepathy
141,moody,Moody
142,overcoat,Overcoat
143,poison-touch,Poison Touch
144,regenerator,Regenerator
145,big-pecks,Big Pecks
146,sand-rush,Sand Rush
147,wonder-skin,Wonder Skin
148,analytic,Analytic
149,illusion,Illusion
150,imposter,Imposter
151,infiltrator,Infiltrator
152,mummy,Mummy
153,moxie,Moxie
154,justified,Justified
155,rattled,Rattled
156,magic-bounce,Magic Bounce
157,sap-sipper,Sap Sipper
158,prankster,Prankster
159,sand-force,Sand Force
160,iron-barbs,Iron Barbs
161,zen-mode,Zen Mode
162,victory-star,Victory Star
163,turboblaze,Turboblaze
164,teravolt,Teravolt
165,aroma-veil,Aroma Veil
166,flower-veil,Flower Veil
167,cheek-pouch,Cheek Pouch
168,protean,Protean
169,fur-coat,Fur Coat
170,magician,Magician
171,bulletproof,Bulletproof
172,competitive,Competitive
173,strong-jaw,Strong Jaw
174,refrigerate,Refrigerate
175,sweet-veil,Sweet Veil
176,stance-change,Stance Change
177,gale-wings,Gale Wings
178,mega-launcher,Mega Launcher
179,grass-pelt,Grass Pelt
180,symbiosis,Symbiosis
181,tough-claws,Tough Claws
182,pixilate,Pixilate
183,gooey,Gooey
184,aerilate,Aerilate
185,parental-bond,Parental Bond
186,dark-aura,Dark Aura
187,fairy-aura,Fairy Aura
188,aura-break,Aura Break
189,primordial-sea,Primordial Sea
190,desolate-land,Desolate Land
191,delta-stream,Delta Stream
192,stamina,Stamina
193,wimp-out,Wimp Out
194,emergency-exit,Emergency Exit
195,water-compaction,Water Compaction
196,merciless,Merciless
197,shields-down,Shields Down
198,stakeout,Stakeout
199,water-bubble,Water Bubble
200,steelworker,Steelworker
201,berserk,Berserk
202,slush-rush,Slush Rush
203,long-reach,Long Reach
204,liquid-voice,Liquid Voice
205,triage,Triage
206,galvanize,Galvanize
207,surge-surfer,Surge Surfer
208,schooling,Schooling
209,disguise,Disguise
211,power-construct,Power Construct
212,corrosion,Corrosion
213,comatose,Comatose
214,queenly-majesty,Queenly Majesty
215,innards-out,Innards Out
216,dancer,Dancer
217,battery,Battery
218,fluffy,Fluffy
219,dazzling,Dazzling
220,soul-heart,Soul-Heart
221,tangling-hair,Tangling Hair
222,receiver,Receiver
223,power-of-alchemy,Power of Alchemy
224,beast-boost,Beast Boost
