id,identifier,name,price,item_category_id,order
1,rare-candy,Rare Candy,,5,
2,aspear-berry,Aspear Berry,5,6,5
3,cheri-berry,Cheri Berry,5,6,1
4,chesto-berry,Chesto Berry,5,6,2
5,pecha-berry,Pecha Berry,5,6,3
6,persim-berry,Persim Berry,5,6,8
7,rawst-berry,Rawst Berry,5,6,4
9,babiri-berry,Babiri Berry,7,6,27
10,charti-berry,Charti Berry,7,6,23
11,chilan-berry,Chilan Berry,7,6,11
12,chople-berry,Chople Berry,7,6,17
13,coba-berry,Coba Berry,7,6,20
14,colbur-berry,Colbur Berry,7,6,26
15,haban-berry,Haban Berry,7,6,25
16,kasib-berry,Kasib Berry,7,6,24
17,kebia-berry,Kebia Berry,7,6,18
18,occa-berry,Occa Berry,7,6,12
19,passho-berry,Passho Berry,7,6,13
20,payapa-berry,Payapa Berry,7,6,21
21,rindo-berry,Rindo Berry,7,6,14
22,shuca-berry,Shuca Berry,7,6,19
23,tanga-berry,Tanga Berry,7,6,22
24,wacan-berry,Wacan Berry,7,6,15
25,yache-berry,Yache Berry,7,6,16
26,apicot-berry,Apicot Berry,8,6,33
27,ganlon-berry,Ganlon Berry,8,6,30
28,leppa-berry,Leppa Berry,10,6,6
29,liechi-berry,Liechi Berry,8,6,29
30,oran-berry,Oran Berry,8,6,7
31,petaya-berry,Petaya Berry,8,6,32
32,salac-berry,Salac Berry,8,6,31
33,enigma-berry,Enigma Berry,10,6,36
34,lansat-berry,Lansat Berry,8,6,34
35,starf-berry,Starf Berry,8,6,35
36,custap-berry,Custap Berry,8,6,38
37,jaboca-berry,Jaboca Berry,10,6,39
38,lum-berry,Lum Berry,8,6,9
39,micle-berry,Micle Berry,8,6,37
40,rowap-berry,Rowap Berry,10,6,40
41,sitrus-berry,Sitrus Berry,10,6,10
42,draco-plate,Draco Plate,5,3,15
43,dread-plate,Dread Plate,5,3,16
44,earth-plate,Earth Plate,5,3,9
45,fist-plate,Fist Plate,5,3,7
46,flame-plate,Flame Plate,5,3,2
47,icicle-plate,Icicle Plate,5,3,6
48,insect-plate,Insect Plate,5,3,12
49,iron-plate,Iron Plate,5,3,17
50,meadow-plate,Meadow Plate,5,3,4
51,mind-plate,Mind Plate,5,3,11
52,sky-plate,Sky Plate,5,3,10
53,splash-plate,Splash Plate,5,3,3
54,spooky-plate,Spooky Plate,5,3,14
55,stone-plate,Stone Plate,5,3,13
56,toxic-plate,Toxic Plate,5,3,8
57,zap-plate,Zap Plate,5,3,5
58,black-belt,Black Belt,7,2,7
59,black-glasses,Black Glasses,7,2,16
60,charcoal,Charcoal,7,2,2
61,dragon-fang,Dragon Fang,7,2,15
62,hard-stone,Hard Stone,7,2,13
63,magnet,Magnet,7,2,5
64,miracle-seed,Miracle Seed,7,2,4
65,mystic-water,Mystic Water,7,2,3
66,never-melt-ice,Never-Melt Ice,7,2,6
67,poison-barb,Poison Barb,7,2,8
68,sharp-beak,Sharp Beak,7,2,10
69,silk-scarf,Silk Scarf,7,2,1
70,silver-powder,Silver Powder,7,2,12
71,soft-sand,Soft Sand,7,2,9
72,spell-tag,Spell Tag,7,2,14
73,twisted-spoon,Twisted Spoon,7,2,11
74,expert-belt,Expert Belt,10,1,
75,life-orb,Life Orb,10,1,
76,metronome,Metronome,10,1,
77,muscle-band,Muscle Band,10,1,
78,wise-glasses,Wise Glasses,10,1,
79,choice-band,Choice Band,13,1,
80,choice-scarf,Choice Scarf,13,1,
81,choice-specs,Choice Specs,13,1,
82,big-root,Big Root,5,1,
83,destiny-knot,Destiny Knot,5,1,
84,focus-band,Focus Band,5,1,
85,iron-ball,Iron Ball,5,1,
86,lagging-tail,Lagging Tail,5,1,
88,mental-herb,Mental Herb,5,1,
89,quick-claw,Quick Claw,5,1,
90,shed-shell,Shed Shell,5,1,
91,smoke-ball,Smoke Ball,5,1,
92,sticky-barb,Sticky Barb,5,1,
93,white-herb,White Herb,5,1,
94,bright-powder,Bright Powder,8,1,
95,focus-sash,Focus Sash,8,1,
96,grip-claw,Grip Claw,8,1,
97,light-ball,Light Ball,8,1,
98,lucky-punch,Lucky Punch,8,1,
99,metal-powder,Metal Powder,8,1,
100,power-herb,Power Herb,8,1,
101,quick-powder,Quick Powder,8,1,
102,scope-lens,Scope Lens,8,1,
103,shell-bell,Shell Bell,8,1,
104,stick,Stick,8,1,
105,thick-club,Thick Club,8,1,
106,wide-lens,Wide Lens,8,1,
107,zoom-lens,Zoom Lens,8,1,
108,black-sludge,Black Sludge,10,1,
109,damp-rock,Damp Rock,10,1,
110,flame-orb,Flame Orb,10,1,
111,heat-rock,Heat Rock,10,1,
112,icy-rock,Icy Rock,10,1,
113,leftovers,Leftovers,10,1,
114,light-clay,Light Clay,10,1,
115,smooth-rock,Smooth Rock,10,1,
116,toxic-orb,Toxic Orb,10,1,
117,amulet-coin,Amulet Coin,15,1,
118,exp-share,Exp. Share,15,1,
119,lucky-egg,Lucky Egg,15,1,
120,soothe-bell,Soothe Bell,15,1,
121,deep-sea-scale,Deep Sea Scale,8,7,
122,deep-sea-tooth,Deep Sea Tooth,8,7,
123,kings-rock,King's Rock,8,7,
124,oval-stone,Oval Stone,8,7,
125,razor-claw,Razor Claw,8,7,
126,razor-fang,Razor Fang,8,7,
127,dawn-stone,Dawn Stone,13,7,
128,dusk-stone,Dusk Stone,13,7,
129,fire-stone,Fire Stone,13,7,
130,leaf-stone,Leaf Stone,13,7,
131,moon-stone,Moon Stone,13,7,
132,shiny-stone,Shiny Stone,13,7,
133,sun-stone,Sun Stone,13,7,
134,thunder-stone,Thunder Stone,13,7,
135,water-stone,Water Stone,13,7,
136,dragon-scale,Dragon Scale,15,7,
137,dubious-disc,Dubious Disc,15,7,
138,metal-coat,Metal Coat,15,7,
139,up-grade,Up-Grade,15,7,
