evolved_species_id,experience,happiness,item_id,gender_id,buyable_price
2,2,,,,
3,6,,,,
5,2,,,,
6,6,,,,
8,2,,,,
9,6,,,,
11,2,,,,10
12,6,,,,20
14,2,,,,10
15,6,,,,20
17,2,,,,
18,6,,,,
20,3,,,,
22,3,,,,
24,3,,,,
25,,4,,,
26,,,134,,
28,3,,,,
30,2,,,,
31,,,131,,
33,2,,,,
34,,,131,,
35,,4,,,
36,,,131,,
38,,,129,,
39,,4,,,
40,,,131,,
42,3,,,,
44,3,,,,
45,,,130,,
47,3,,,,
49,3,,,,
51,3,,,,
53,3,,,,
55,3,,,,
57,3,,,,
59,,,129,,
61,3,,,,
62,,,135,,
64,2,,,,
65,,,185,,
67,3,,,,
68,,,185,,
70,3,,,,
71,,,130,,
73,3,,,,
75,3,,,,
76,,,185,,
78,5,,,,
80,4,,,,
82,4,,,,
85,3,,,,
87,3,,,,
89,4,,,,
91,,,135,,
93,3,,,,
94,,,185,,
97,3,,,,
99,3,,,,
101,3,,,,
103,,,130,,
105,3,,,,
106,3,,,,
107,3,,,,
110,4,,,,
112,4,,,,
113,,,124,,
117,4,,,,
119,3,,,,
121,,,135,,
122,4,,,,
124,3,,,,
125,4,,,,
126,4,,,,
130,3,,,,30
134,,,135,,
135,,,134,,
136,,,129,,
139,5,,,,
141,5,,,,
143,,4,,,
148,4,,,,
149,9,,,,
153,2,,,,
154,6,,,,
156,2,,,,
157,6,,,,
159,2,,,,
160,6,,,,
162,3,,,,
164,3,,,,
166,3,,,,
168,3,,,,
169,,4,,,
171,3,,,,
176,,4,,,
178,3,,,,
180,2,,,,
181,6,,,,
182,,,133,,
183,,4,,,
184,4,,,,
185,4,,,,
186,,,123,,
188,2,,,,
189,6,,,,
192,,,133,,
195,3,,,,
196,,4,,,
197,,4,,,
199,,,123,,
202,3,,,,
205,3,,,,
208,,,138,,
210,3,,,,
212,,,138,,
217,3,,,,
219,4,,,,
221,4,,,,
224,3,,,,
226,4,,,,
229,3,,,,
230,,,136,,
232,3,,,,
233,,,139,,
237,3,,,,
242,,4,,,
247,4,,,,
248,9,,,,
253,2,,,,
254,6,,,,
256,2,,,,
257,6,,,,
259,2,,,,
260,6,,,,
262,3,,,,
264,3,,,,
266,2,,,,10
267,6,,,,20
268,2,,,,10
269,6,,,,20
271,2,,,,
272,,,135,,
274,2,,,,
275,,,130,,
277,3,,,,
279,3,,,,
281,3,,,,
282,7,,,,
284,3,,,,
286,3,,,,
288,2,,,,
289,6,,,,
291,3,,,,
292,,,,,
294,3,,,,
295,9,,,,
297,3,,,,
301,,,131,,
305,4,,,,
306,9,,,,
308,4,,,,
310,3,,,,
315,,4,,,
317,3,,,,
319,3,,,,
321,5,,,,
323,3,,,,
326,3,,,,
329,4,,,,
330,5,,,,
332,3,,,,
334,4,,,,
340,3,,,,
342,3,,,,
344,4,,,,
346,5,,,,
348,5,,,,
350,,4,168,,
354,4,,,,
356,4,,,,
358,,4,,,
362,5,,,,
364,4,,,,
365,9,,,,
367,,,122,,
368,,,121,,
372,4,,,,
373,9,,,,
375,3,,,,30
376,8,,,,
388,2,,,,
389,6,,,,
391,2,,,,
392,6,,,,
394,2,,,,
395,6,,,,
397,2,,,,
398,6,,,,
400,3,,,,
402,3,,,,20
404,2,,,,
405,6,,,,
407,,,132,,
409,3,,,,
411,3,,,,
413,3,,,1,30
414,3,,,2,30
416,3,,,1,30
419,3,,,,
421,3,,,,
423,3,,,,
424,4,,,,
426,3,,,,
428,,4,,,
429,,,128,,
430,,,128,,
432,4,,,,
435,3,,,,
437,3,,,,
444,3,,,,
445,9,,,,
448,,4,,,
450,3,,,,
452,5,,,,
454,4,,,,
457,3,,,,
460,5,,,,
461,,,125,,
462,8,,,,
463,4,,,,
464,,,142,,
465,4,,,,
466,,,140,,
467,,,141,,
468,,,132,,
469,4,,,,
470,4,,,,
471,4,,,,
472,,,126,,
473,8,,,,
474,,,137,,
475,,,127,2,
476,4,,,,
477,,,143,,
478,,,127,1,
496,2,,,,
497,6,,,,
499,2,,,,
500,6,,,,
502,2,,,,
503,6,,,,
505,3,,,,
507,2,,,,
508,6,,,,
510,3,,,,
512,,,130,,
514,,,129,,
516,,,135,,
518,,,131,,
520,3,,,,
521,6,,,,
523,3,,,,
525,3,,,,
526,,,185,,
528,,4,,,
530,3,,,,
533,3,,,,
